{'time': 1.267381191253662, 'x': -0.019528178518129054, 'y': 0.08727866129556719, 'z': 0.06954435888121602, 'yaw': -0.1396648888530887, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2816243171691895, 'x': -0.019696562173678257, 'y': 0.08962324645227095, 'z': 0.07268168317880488, 'yaw': -0.14202247847509408, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.290569543838501, 'x': -0.0196168958297097, 'y': 0.09180456781948004, 'z': 0.07599065243734143, 'yaw': -0.12970054085089888, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3019323348999023, 'x': -0.019467786520940684, 'y': 0.09448687800315805, 'z': 0.0799226144180865, 'yaw': -0.132900209384748, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.307830572128296, 'x': -0.019447607556307506, 'y': 0.09799120098302742, 'z': 0.08422489177061143, 'yaw': -0.14525465703775886, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3206017017364502, 'x': -0.019654134473189068, 'y': 0.10171668176810124, 'z': 0.08817672168079363, 'yaw': -0.15014089965739785, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3266465663909912, 'x': -0.01960287091416282, 'y': 0.10581805300731653, 'z': 0.09309306766589438, 'yaw': -0.15466393726490058, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3409395217895508, 'x': -0.02017042761245799, 'y': 0.11020770037726922, 'z': 0.09705165798756211, 'yaw': -0.16204066317679366, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3511109352111816, 'x': -0.02019776282094273, 'y': 0.11481310064819307, 'z': 0.10177977027846825, 'yaw': -0.14937977955858095, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.361231803894043, 'x': -0.020992514096907736, 'y': 0.12017350289727932, 'z': 0.10655447950238302, 'yaw': -0.15523850412959117, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
