{'time': 1.285189151763916, 'x': -1.2883049256070902, 'y': -0.03564603938539115, 'z': 0.061145093949273935, 'yaw': 0.04405631012604317, 'velocity': 0.021882558751361653, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2951111793518066, 'x': -1.2883133850231359, 'y': -0.03561770822659815, 'z': 0.06113596896630871, 'yaw': 0.043173663965517, 'velocity': 0.0031186367081487603, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3050622940063477, 'x': -1.288331261624927, 'y': -0.03554556255833848, 'z': 0.061184198443649834, 'yaw': 0.04221387652432545, 'velocity': 0.008903918087202891, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3155663013458252, 'x': -1.288319867564979, 'y': -0.03560789637445821, 'z': 0.061147186138749636, 'yaw': 0.0428060699829195, 'velocity': 0.008626800610387095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3255243301391602, 'x': -1.2883842771355927, 'y': -0.03548103235814254, 'z': 0.061343412765698845, 'yaw': 0.03887238184111434, 'velocity': 0.024340137068560464, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3349521160125732, 'x': -1.288328941271774, 'y': -0.035541295355430366, 'z': 0.06120511638930482, 'yaw': 0.0426867645583439, 'velocity': 0.017043737210672514, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3449251651763916, 'x': -1.2883320588403957, 'y': -0.03557379742174052, 'z': 0.06117931278714292, 'yaw': 0.04245504575417267, 'velocity': 0.004636669739924622, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3549251556396484, 'x': -1.2882968530739167, 'y': -0.03562013617674537, 'z': 0.06106175593922687, 'yaw': 0.039310827519106396, 'velocity': 0.013117305942632388, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.364931583404541, 'x': -1.288452735299663, 'y': -0.03535400116530096, 'z': 0.06143641050928035, 'yaw': 0.03563064024482899, 'velocity': 0.04849646504537862, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.375805377960205, 'x': -1.2883528766155061, 'y': -0.035549698967926216, 'z': 0.06117668639087888, 'yaw': 0.041466611914511155, 'velocity': 0.03833428321457512, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3853113651275635, 'x': -1.2882802170586716, 'y': -0.035662262720756205, 'z': 0.061040632887522914, 'yaw': 0.04114645970660073, 'velocity': 0.020086972083585924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.395765781402588, 'x': -1.2883223658132592, 'y': -0.03557289215220961, 'z': 0.06119125955264158, 'yaw': 0.04202036975561739, 'velocity': 0.018076086541072116, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4054625034332275, 'x': -1.2882798973091192, 'y': -0.0356492623031917, 'z': 0.06102694342848621, 'yaw': 0.04028621804798612, 'velocity': 0.019192759889020354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4114632606506348, 'x': -1.2883097674325121, 'y': -0.035633067294115126, 'z': 0.06115139514929623, 'yaw': 0.04407466055547911, 'velocity': 0.021498406578988653, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4247918128967285, 'x': -1.2883250044197843, 'y': -0.03555505357348832, 'z': 0.061180047553307554, 'yaw': 0.04236556379082695, 'velocity': 0.008459914584035087, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4347898960113525, 'x': -1.2883118311521684, 'y': -0.03561280879946296, 'z': 0.061156696340704864, 'yaw': 0.043723092708227586, 'velocity': 0.0070745535493386535, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4447510242462158, 'x': -1.288421284431397, 'y': -0.035429413732817806, 'z': 0.06130041186431778, 'yaw': 0.03276042501781999, 'velocity': 0.025843013050598742, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4554150104522705, 'x': -1.2884494414944276, 'y': -0.03537357101585231, 'z': 0.061446232992506664, 'yaw': 0.035085213848898504, 'velocity': 0.01639191042522865, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4654700756072998, 'x': -1.2882921614632052, 'y': -0.03562714054311614, 'z': 0.061144917887387594, 'yaw': 0.043672113914127605, 'velocity': 0.04217358448562079, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4752347469329834, 'x': -1.2883101054712929, 'y': -0.035610800672940535, 'z': 0.06115081900107604, 'yaw': 0.043194895890010715, 'velocity': 0.002557794952874106, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4812226295471191, 'x': -1.288328712792518, 'y': -0.035585915824263625, 'z': 0.06116133909544418, 'yaw': 0.04236554695031627, 'velocity': 0.005478545113871804, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4953086376190186, 'x': -1.2884651136124587, 'y': -0.035351813063133466, 'z': 0.061459415221441355, 'yaw': 0.035900592519751966, 'velocity': 0.04065651172560939, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5054337978363037, 'x': -1.2884649875059804, 'y': -0.035356590463405016, 'z': 0.06145882178251587, 'yaw': 0.03588917066668354, 'velocity': 0.00047562392758898717, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5148346424102783, 'x': -1.2883468802310156, 'y': -0.03554789641048609, 'z': 0.061204058448974974, 'yaw': 0.04160027525997094, 'velocity': 0.03614374914774103, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5250284671783447, 'x': -1.2882931745349564, 'y': -0.035638902366155766, 'z': 0.06115090115405349, 'yaw': 0.04381854881260327, 'velocity': 0.011603901519128983, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5350282192230225, 'x': -1.2884378094041258, 'y': -0.03536180681672447, 'z': 0.06145089496547122, 'yaw': 0.035417670682647756, 'velocity': 0.04811584662726945, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5449934005737305, 'x': -1.2883087607110393, 'y': -0.03562076984873592, 'z': 0.061143239268857744, 'yaw': 0.04394355373104363, 'velocity': 0.04695695902631583, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5550358295440674, 'x': -1.288459122740976, 'y': -0.03536684933342285, 'z': 0.06144656534964081, 'yaw': 0.03525426485192019, 'velocity': 0.042140356793254924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5650458335876465, 'x': -1.288358609634157, 'y': -0.03557165429489095, 'z': 0.06116036658435854, 'yaw': 0.04071129652439867, 'velocity': 0.03656365245456405, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.575045108795166, 'x': -1.2882964901420588, 'y': -0.03562093248155811, 'z': 0.061130460346742035, 'yaw': 0.043964729248902504, 'velocity': 0.008475019273477023, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.585130214691162, 'x': -1.2883067385344547, 'y': -0.03564369581636585, 'z': 0.061147720453096015, 'yaw': 0.043428537348330395, 'velocity': 0.0030093682866949795, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.596027135848999, 'x': -1.288312221645686, 'y': -0.035614485827732315, 'z': 0.06117721579429964, 'yaw': 0.04321644558776142, 'velocity': 0.004210189208708441, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6050102710723877, 'x': -1.288317410031165, 'y': -0.03561327270482147, 'z': 0.06115970140728032, 'yaw': 0.0435961440386581, 'velocity': 0.002037925399017646, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6150128841400146, 'x': -1.2883129096643646, 'y': -0.03562778176459068, 'z': 0.06111970937896057, 'yaw': 0.0439390629151921, 'velocity': 0.004746259155342094, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6249470710754395, 'x': -1.2883548408423882, 'y': -0.035535631632411475, 'z': 0.06119682128621852, 'yaw': 0.04136036719298522, 'velocity': 0.014181290051272513, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6349267959594727, 'x': -1.2883990664032992, 'y': -0.03546726023107032, 'z': 0.06135454381535217, 'yaw': 0.03902985485265656, 'velocity': 0.019778363817373225, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6458940505981445, 'x': -1.2882702536201758, 'y': -0.035684226307475794, 'z': 0.06100363555400499, 'yaw': 0.040883417892685424, 'velocity': 0.04335105539502749, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.654893398284912, 'x': -1.2883436252154357, 'y': -0.03556277030762865, 'z': 0.06123043009139958, 'yaw': 0.04163143753685088, 'velocity': 0.029727380443959374, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.664839744567871, 'x': -1.2882932593156615, 'y': -0.035639833370119306, 'z': 0.06115038894569979, 'yaw': 0.04355329899986532, 'velocity': 0.0135952579415259, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6748132705688477, 'x': -1.2883186495530814, 'y': -0.035613709481136305, 'z': 0.06117173683483668, 'yaw': 0.04287694683205425, 'velocity': 0.004720266863019492, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6848526000976562, 'x': -1.2882908791838896, 'y': -0.03564503103233508, 'z': 0.061037485412542086, 'yaw': 0.04033802372430777, 'velocity': 0.014007511069785329, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6948449611663818, 'x': -1.2884450956945428, 'y': -0.03535693360658855, 'z': 0.06142621302827653, 'yaw': 0.03562002342643604, 'velocity': 0.05641776577617836, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7051255702972412, 'x': -1.2883218769267013, 'y': -0.03563158572203851, 'z': 0.061152741706757746, 'yaw': 0.044047096140278484, 'velocity': 0.04370970094606781, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.715116262435913, 'x': -1.2883156248224605, 'y': -0.03563390860229825, 'z': 0.061152505869561155, 'yaw': 0.043450534447908855, 'velocity': 0.0007424181078856651, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7250738143920898, 'x': -1.2883263618346659, 'y': -0.03557650662635595, 'z': 0.06119109126637823, 'yaw': 0.04222270228357134, 'velocity': 0.007800154339660413, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7350680828094482, 'x': -1.2883245086954127, 'y': -0.03561682071663443, 'z': 0.06116418001023976, 'yaw': 0.0435846891778126, 'velocity': 0.005391424579381272, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.745060682296753, 'x': -1.288401883819524, 'y': -0.035441975105269884, 'z': 0.061359822614861004, 'yaw': 0.038851251085298126, 'velocity': 0.030340455549206335, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7550158500671387, 'x': -1.288292023119703, 'y': -0.03563948569036327, 'z': 0.06105152486700988, 'yaw': 0.04045045881101642, 'velocity': 0.04256616863849458, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7650208473205566, 'x': -1.2883146918814452, 'y': -0.03562006497861951, 'z': 0.06113344495073598, 'yaw': 0.04431822869120649, 'velocity': 0.00871455383344075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7749581336975098, 'x': -1.2883311400994493, 'y': -0.035580294288777035, 'z': 0.06117829885109552, 'yaw': 0.04239681035709472, 'velocity': 0.006947708454666472, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7849302291870117, 'x': -1.2883068669127218, 'y': -0.03563757630556176, 'z': 0.06113970422612158, 'yaw': 0.04296616210821484, 'velocity': 0.0081577064675119, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7959015369415283, 'x': -1.2883396940229257, 'y': -0.03556028642688209, 'z': 0.0612058245156692, 'yaw': 0.042180318074521904, 'velocity': 0.010717605955741526, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8048770427703857, 'x': -1.2883003981421268, 'y': -0.03565085280321763, 'z': 0.06112355115674782, 'yaw': 0.0439837312476618, 'velocity': 0.016108376578237025, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8158514499664307, 'x': -1.288316999136726, 'y': -0.035611515471561765, 'z': 0.061152912311969974, 'yaw': 0.043559934848689766, 'velocity': 0.005195297610668916, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8248236179351807, 'x': -1.2884770795164635, 'y': -0.03533627561045118, 'z': 0.06144713428805263, 'yaw': 0.03544093640331828, 'velocity': 0.048319556348185244, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.834599494934082, 'x': -1.288333171767548, 'y': -0.03560700610035022, 'z': 0.0611685827140782, 'yaw': 0.042829638170097946, 'velocity': 0.04719412548345078, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8455684185028076, 'x': -1.2883037839323954, 'y': -0.035631959921833274, 'z': 0.06115495646477615, 'yaw': 0.04321131135725264, 'velocity': 0.004099095332289912, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8555428981781006, 'x': -1.2883170832974173, 'y': -0.035586485457798585, 'z': 0.06119785987184383, 'yaw': 0.0417895130904355, 'velocity': 0.006408147231426327, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8647480010986328, 'x': -1.28832199472947, 'y': -0.035593584554350084, 'z': 0.061170058974587, 'yaw': 0.0433799868955293, 'velocity': 0.003162408328477254, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8757245540618896, 'x': -1.2883045778182804, 'y': -0.03562270814041211, 'z': 0.06115041132518088, 'yaw': 0.0435097851703637, 'velocity': 0.0039345002586525, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8857746124267578, 'x': -1.288336164799739, 'y': -0.03562360222759741, 'z': 0.061127853097384256, 'yaw': 0.04202307999150938, 'velocity': 0.004291279191827056, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
