{'time': 1.2969117164611816, 'x': -0.933913113449553, 'y': 0.07209595933324696, 'z': 0.049153069126946856, 'yaw': 0.15240163300830822, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3109002113342285, 'x': -0.9339323857967843, 'y': 0.07211893929617111, 'z': 0.0491377279526928, 'yaw': 0.15077984853966198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3170695304870605, 'x': -0.9339403569144356, 'y': 0.07212938599196235, 'z': 0.04914670233983924, 'yaw': 0.15139012497381701, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3304636478424072, 'x': -0.9339553638289113, 'y': 0.07212294318647827, 'z': 0.04918633909097941, 'yaw': 0.15021345708384887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3403253555297852, 'x': -0.9339103290340577, 'y': 0.07208343142750617, 'z': 0.04914388837834163, 'yaw': 0.15154215344440608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3513767719268799, 'x': -0.9338930619104188, 'y': 0.07208918649258302, 'z': 0.04912820975121928, 'yaw': 0.1512115499595164, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3574094772338867, 'x': -0.9339155294590068, 'y': 0.07211385163748098, 'z': 0.04921437437459427, 'yaw': 0.14922749592083873, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.370316743850708, 'x': -0.9339525462546164, 'y': 0.071955642696151, 'z': 0.049558435298828925, 'yaw': 0.15034818271895015, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3803293704986572, 'x': -0.9338792809575017, 'y': 0.07209614471542386, 'z': 0.049104622346061576, 'yaw': 0.15203457477922258, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3863446712493896, 'x': -0.9339003514583543, 'y': 0.07213702932458876, 'z': 0.049160155748902055, 'yaw': 0.1538942446952843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4007954597473145, 'x': -0.9339121304109805, 'y': 0.07195424088653908, 'z': 0.04957092903798212, 'yaw': 0.14994387234616124, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.40671706199646, 'x': -0.9339257722503598, 'y': 0.07211253706323616, 'z': 0.04919246375263404, 'yaw': 0.1500462402332245, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4213366508483887, 'x': -0.9338938791829074, 'y': 0.0720974404018072, 'z': 0.04914268393157498, 'yaw': 0.152438442288646, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.430415391921997, 'x': -0.9339031638083333, 'y': 0.07193712299161384, 'z': 0.049534538201101395, 'yaw': 0.15014674176374812, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4404613971710205, 'x': -0.9339348766741025, 'y': 0.07207075198843779, 'z': 0.049205182596600075, 'yaw': 0.14997207241948932, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.446507215499878, 'x': -0.9338913795582243, 'y': 0.07202005374568253, 'z': 0.049587859636585796, 'yaw': 0.15136618925196976, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4575905799865723, 'x': -0.9339216521610612, 'y': 0.07209122106563702, 'z': 0.0491931970050467, 'yaw': 0.15181622118407254, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4665939807891846, 'x': -0.9339516570886712, 'y': 0.07217496930598626, 'z': 0.04922183402663649, 'yaw': 0.15118038816862342, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.480851173400879, 'x': -0.9339271541742834, 'y': 0.07217153866952633, 'z': 0.04918653317819689, 'yaw': 0.15134844632789748, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4899237155914307, 'x': -0.933927019169951, 'y': 0.07208779680277191, 'z': 0.04903706066873912, 'yaw': 0.15265470317220098, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5001170635223389, 'x': -0.9339110799453276, 'y': 0.07208426121276773, 'z': 0.0491664497164027, 'yaw': 0.15029984998287024, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5101470947265625, 'x': -0.9340084012987864, 'y': 0.07231557473081164, 'z': 0.04873392686168161, 'yaw': 0.14746920917070147, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5213980674743652, 'x': -0.9340073596383681, 'y': 0.07226811523563816, 'z': 0.048697341300813476, 'yaw': 0.14926256897923157, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.530332088470459, 'x': -0.9340069735822568, 'y': 0.07231181037422865, 'z': 0.04870399065090038, 'yaw': 0.14888606727746032, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
