{'time': 1.2799952030181885, 'x': 0.014637952861526726, 'y': 0.010902614021385015, 'z': 0.06116083772921897, 'yaw': 0.002816968721831623, 'velocity': 0.0032854054449139142, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.290137767791748, 'x': 0.014762442735680302, 'y': 0.010841130968896788, 'z': 0.061058757759738035, 'yaw': -0.0009355367968533201, 'velocity': 0.018538382581809187, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3009779453277588, 'x': 0.014739086431706178, 'y': 0.010848103672032375, 'z': 0.061072527733711544, 'yaw': 0.0012204620491791545, 'velocity': 0.0028042991547997443, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3101434707641602, 'x': 0.014643658303706536, 'y': 0.010847805408871123, 'z': 0.06108851307535632, 'yaw': 0.0010164046555860581, 'velocity': 0.010556753421936554, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3201179504394531, 'x': 0.014691546765662583, 'y': 0.010843458921926334, 'z': 0.06112437719979688, 'yaw': 0.0018269390436368338, 'velocity': 0.006014041352498895, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3304553031921387, 'x': 0.014686953051853963, 'y': 0.010856595495479068, 'z': 0.06108998114434829, 'yaw': 0.002642151488842897, 'velocity': 0.0035893833732735234, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3407983779907227, 'x': 0.014718595365077325, 'y': 0.010926799663992518, 'z': 0.06108055320858136, 'yaw': -5.681411417679527e-05, 'velocity': 0.008166149516654973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3506803512573242, 'x': 0.014742896436369599, 'y': 0.010850901864849466, 'z': 0.06108949771096772, 'yaw': 0.0010258660749856631, 'velocity': 0.008115145791046554, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.359647512435913, 'x': 0.014607478676996717, 'y': 0.010921719226103918, 'z': 0.06116641886544948, 'yaw': 0.002970787063953505, 'velocity': 0.019079012052780155, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3699970245361328, 'x': 0.01458578787629929, 'y': 0.010910122813628133, 'z': 0.06118090277714178, 'yaw': 0.0029624667190762347, 'velocity': 0.0030548233010258452, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3801333904266357, 'x': 0.014612821369426744, 'y': 0.01091533314450119, 'z': 0.06117013446176654, 'yaw': 0.002813828284408612, 'velocity': 0.0032378159480558827, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3899743556976318, 'x': 0.014732190724240722, 'y': 0.01084217217815688, 'z': 0.06107796961505561, 'yaw': 0.0021751157792371275, 'velocity': 0.01862315000399459, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.401172161102295, 'x': 0.014671899165041184, 'y': 0.010829053638129598, 'z': 0.06111540300705081, 'yaw': 0.0008848244097647272, 'velocity': 0.006444962227203528, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4101636409759521, 'x': 0.014697747585491229, 'y': 0.010859032725669687, 'z': 0.06105133893827077, 'yaw': 0.0014869743828602193, 'velocity': 0.00837533425201445, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4191462993621826, 'x': 0.014664663966939119, 'y': 0.010833908620784706, 'z': 0.0611508337134153, 'yaw': 0.001396206490658408, 'velocity': 0.012003027169959032, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4301471710205078, 'x': 0.014666020648961404, 'y': 0.010826540214460783, 'z': 0.06112581116846567, 'yaw': 0.001244461915447823, 'velocity': 0.002622207058261761, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
