{'time': 1.381676197052002, 'x': 2.5881904510258065, 'y': -9.659258262890521, 'z': 0, 'yaw': 36.390114904081834, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3937079906463623, 'x': 4.226182617407522, 'y': -9.063077870366254, 'z': 0, 'yaw': 36.56464782928126, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4057402610778809, 'x': 5.735764363510906, 'y': -8.191520442889605, 'z': 0, 'yaw': 36.73918075448069, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4177722930908203, 'x': 7.071067811865834, 'y': -7.071067811865117, 'z': 0, 'yaw': 36.91371367968012, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4298043251037598, 'x': 8.191520442890187, 'y': -5.735764363510077, 'z': 0, 'yaw': 37.08824660487955, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4418363571166992, 'x': 9.063077870366683, 'y': -4.226182617406603, 'z': 0, 'yaw': 37.26277953007898, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4538681507110596, 'x': 9.659258262890786, 'y': -2.5881904510248264, 'z': 0, 'yaw': 37.43731245527841, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4659004211425781, 'x': 9.961946980917487, 'y': -0.8715574274762262, 'z': 0, 'yaw': 37.61184538047784, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4779322147369385, 'x': 9.961946980917428, 'y': 0.8715574274768999, 'z': 0, 'yaw': 37.78637830567727, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4899640083312988, 'x': 9.65925826289061, 'y': 2.58819045102548, 'z': 0, 'yaw': 37.9609112308767, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5019962787628174, 'x': 9.063077870366396, 'y': 4.226182617407216, 'z': 0, 'yaw': 38.135444156076126, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5140280723571777, 'x': 8.1915204428898, 'y': 5.73576436351063, 'z': 0, 'yaw': 38.309977081275555, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5260601043701172, 'x': 7.071067811865356, 'y': 7.0710678118655945, 'z': 0, 'yaw': 38.484510006474984, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5380923748016357, 'x': 5.735764363510353, 'y': 8.191520442889994, 'z': 0, 'yaw': 38.65904293167441, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5501244068145752, 'x': 4.226182617406909, 'y': 9.06307787036654, 'z': 0, 'yaw': 38.83357585687384, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5621562004089355, 'x': 2.588190451025153, 'y': 9.659258262890697, 'z': 0, 'yaw': 39.00810878207327, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.574188232421875, 'x': 0.8715574274765631, 'y': 9.961946980917457, 'z': 0, 'yaw': 39.1826417072727, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5862200260162354, 'x': -0.8715574274765631, 'y': 9.961946980917457, 'z': 0, 'yaw': 39.35717463247213, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.598252296447754, 'x': -2.588190451025153, 'y': 9.659258262890697, 'z': 0, 'yaw': 39.53170755767156, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6102843284606934, 'x': -4.226182617406909, 'y': 9.06307787036654, 'z': 0, 'yaw': 39.70624048287099, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6223163604736328, 'x': -5.735764363510353, 'y': 8.191520442889994, 'z': 0, 'yaw': 39.88077340807042, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6343483924865723, 'x': -7.071067811865356, 'y': 7.0710678118655945, 'z': 0, 'yaw': 40.05530633326985, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6463804244995117, 'x': -8.1915204428898, 'y': 5.73576436351063, 'z': 0, 'yaw': 40.229839258469276, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.658412218093872, 'x': -9.063077870366396, 'y': 4.226182617407216, 'z': 0, 'yaw': 40.404372183668706, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6704444885253906, 'x': -9.65925826289061, 'y': 2.58819045102548, 'z': 0, 'yaw': 40.578905108868135, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.68247652053833, 'x': -9.961946980917428, 'y': 0.8715574274768999, 'z': 0, 'yaw': 40.753438034067564, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6945085525512695, 'x': -9.961946980917487, 'y': -0.8715574274762262, 'z': 0, 'yaw': 40.92797095926699, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.706540584564209, 'x': -9.659258262890786, 'y': -2.5881904510248264, 'z': 0, 'yaw': 41.10250388446642, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7185723781585693, 'x': -9.063077870366683, 'y': -4.226182617406603, 'z': 0, 'yaw': 41.27703680966585, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.730604648590088, 'x': -8.191520442890187, 'y': -5.735764363510077, 'z': 0, 'yaw': 41.45156973486528, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7426362037658691, 'x': -7.071067811865834, 'y': -7.071067811865117, 'z': 0, 'yaw': 41.62610266006471, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7546682357788086, 'x': -5.735764363510906, 'y': -8.191520442889605, 'z': 0, 'yaw': 41.80063558526414, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7667005062103271, 'x': -4.226182617407522, 'y': -9.063077870366254, 'z': 0, 'yaw': 41.97516851046357, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
