{'time': 1.1901631355285645, 'x': 0.05079399439932835, 'y': 0.018433308402133322, 'z': 0.04871254075734224, 'yaw': 0.2593227717516673, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.196178913116455, 'x': 0.05081182443154925, 'y': 0.01843736316853473, 'z': 0.04867974877911084, 'yaw': 0.2596890471638027, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2021958827972412, 'x': 0.05081266605343576, 'y': 0.01843653728560988, 'z': 0.048641504648213, 'yaw': 0.2596420468421298, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2082109451293945, 'x': 0.050840848587225505, 'y': 0.018524523647708034, 'z': 0.04866213999297505, 'yaw': 0.26386244856556634, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2142279148101807, 'x': 0.05083770560231481, 'y': 0.018531110550140915, 'z': 0.04870053998124618, 'yaw': 0.2635080203459681, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2202420234680176, 'x': 0.05084370387686952, 'y': 0.01852008522207536, 'z': 0.04871906720516233, 'yaw': 0.2634640760343908, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.226259469985962, 'x': 0.05079990679163103, 'y': 0.01844022224525871, 'z': 0.048684244525548266, 'yaw': 0.2591742917124207, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.232274055480957, 'x': 0.050798111487164024, 'y': 0.018426977614614478, 'z': 0.048656537265386615, 'yaw': 0.2597546871143133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2382903099060059, 'x': 0.05082248867786296, 'y': 0.018511711180166125, 'z': 0.048704360025561035, 'yaw': 0.2639116946962099, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2443060874938965, 'x': 0.05078767067562677, 'y': 0.01841993052795211, 'z': 0.04868856250904137, 'yaw': 0.25960114656905897, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2503225803375244, 'x': 0.05080772630357029, 'y': 0.018435510600881968, 'z': 0.04866363495913176, 'yaw': 0.2596894467466078, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2563390731811523, 'x': 0.05085029779015699, 'y': 0.01851761547182489, 'z': 0.04868390145811934, 'yaw': 0.2641702594665939, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2623553276062012, 'x': 0.05088151956383384, 'y': 0.018528808331262702, 'z': 0.048664639334633795, 'yaw': 0.2638971005401816, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2683703899383545, 'x': 0.05080390317537374, 'y': 0.01842754498031275, 'z': 0.048676093224117804, 'yaw': 0.2596606393000069, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
