{'time': 1.279125690460205, 'x': -1.279066257527274, 'y': -0.04126210882503196, 'z': 0.06264656711540505, 'yaw': 0.0467931380510074, 'velocity': 0.0027046279509157292, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2892000675201416, 'x': -1.2790587306755228, 'y': -0.04124683929810287, 'z': 0.06266838144571307, 'yaw': 0.04637811048716574, 'velocity': 0.0027466580029604257, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2991008758544922, 'x': -1.2790693798133939, 'y': -0.041262899426818184, 'z': 0.06266011193296127, 'yaw': 0.046064029898264594, 'velocity': 0.0021179506336025276, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.309138298034668, 'x': -1.2790749050969143, 'y': -0.0412523443209004, 'z': 0.06265271329332436, 'yaw': 0.046613522223497905, 'velocity': 0.0013971938977598215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3186633586883545, 'x': -1.279076415392728, 'y': -0.041267304589934835, 'z': 0.06264375558771895, 'yaw': 0.046807425445137774, 'velocity': 0.0018375019919720664, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3284978866577148, 'x': -1.2790796941741003, 'y': -0.04126129959614516, 'z': 0.06265649378057975, 'yaw': 0.046852402414777734, 'velocity': 0.0014702606327690563, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3384730815887451, 'x': -1.2790563855584829, 'y': -0.041250908318381845, 'z': 0.06263523010029905, 'yaw': 0.04673579838331572, 'velocity': 0.0037009257624880994, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.349442720413208, 'x': -1.2790659041816619, 'y': -0.04125440871065611, 'z': 0.06261540812955659, 'yaw': 0.046518185563110825, 'velocity': 0.0022328141690470906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3585708141326904, 'x': -1.2790667023851978, 'y': -0.04126360423735335, 'z': 0.06266708124048513, 'yaw': 0.04679307206627902, 'velocity': 0.0057504888821793155, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.368708848953247, 'x': -1.2790713684599988, 'y': -0.041255808655528366, 'z': 0.06267256176778446, 'yaw': 0.04685919116478014, 'velocity': 0.0011466012397829425, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3790254592895508, 'x': -1.2790707079618175, 'y': -0.04123656626927211, 'z': 0.06266884464821333, 'yaw': 0.046175969667167895, 'velocity': 0.0019007453830256198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3893005847930908, 'x': -1.2790635607830436, 'y': -0.04127078185485125, 'z': 0.06262700422051032, 'yaw': 0.046679795168501834, 'velocity': 0.00566905480473403, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3995561599731445, 'x': -1.2790718439717081, 'y': -0.04124679516654835, 'z': 0.06264738521032764, 'yaw': 0.04632658416630129, 'velocity': 0.0031736657412632357, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4085428714752197, 'x': -1.2790844557879406, 'y': -0.04124981658072304, 'z': 0.06267968251474403, 'yaw': 0.046537552736485605, 'velocity': 0.003872804258792955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4194746017456055, 'x': -1.2790493404371561, 'y': -0.04126076693196626, 'z': 0.06265063958154354, 'yaw': 0.04652822022668887, 'velocity': 0.004287219407308007, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4284639358520508, 'x': -1.2790867937236583, 'y': -0.04126862808077546, 'z': 0.06264484867600127, 'yaw': 0.04676674226192316, 'velocity': 0.004305663781625992, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.43843674659729, 'x': -1.2790762889331746, 'y': -0.041270943102708194, 'z': 0.06265913774368222, 'yaw': 0.04690843712553073, 'velocity': 0.0019898880531621244, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.448410987854004, 'x': -1.279061945693636, 'y': -0.041269599817280296, 'z': 0.0626383009648611, 'yaw': 0.04677634365391071, 'velocity': 0.002817843777965437, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4583685398101807, 'x': -1.27910053199647, 'y': -0.04125055244891217, 'z': 0.06265726189799084, 'yaw': 0.04666119795464504, 'velocity': 0.005240498697734944, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4694042205810547, 'x': -1.2790635021400873, 'y': -0.04126929814700201, 'z': 0.06265988601326106, 'yaw': 0.04633789280405863, 'velocity': 0.004143906876464895, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4783177375793457, 'x': -1.2790486366269105, 'y': -0.041309717232311687, 'z': 0.06267969929121488, 'yaw': 0.046224917835351514, 'velocity': 0.005318348389485708, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4890365600585938, 'x': -1.2790617780045084, 'y': -0.04128479756515042, 'z': 0.06264577713427673, 'yaw': 0.04739080098990195, 'velocity': 0.004535848668777842, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4990103244781494, 'x': -1.279082524945968, 'y': -0.041251486535508794, 'z': 0.06267600970419462, 'yaw': 0.04624273941547939, 'velocity': 0.00496688654441227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5084469318389893, 'x': -1.279041506516049, 'y': -0.04126214561252083, 'z': 0.06263478564309441, 'yaw': 0.04640979871025581, 'velocity': 0.0062653006967561785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
