{'time': 1.1772394180297852, 'x': 0.3802584121942815, 'y': -0.008982707916482244, 'z': 0.04486689698857984, 'yaw': -0.019852840441841657, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1832592487335205, 'x': 0.38022724842687683, 'y': -0.009041586778766467, 'z': 0.04477853960245582, 'yaw': -0.01780714835082975, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1884279251098633, 'x': 0.38026735474445056, 'y': -0.008995867723198901, 'z': 0.044883918446452925, 'yaw': -0.020091987867467687, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.194444179534912, 'x': 0.38021115596176425, 'y': -0.009052386829668071, 'z': 0.044810025254902575, 'yaw': -0.017435243475207862, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2004616260528564, 'x': 0.38025750916472556, 'y': -0.008989858312729965, 'z': 0.04489423798431729, 'yaw': -0.019804437440494205, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.206482172012329, 'x': 0.38025782394274327, 'y': -0.008989357741061481, 'z': 0.04485919238701698, 'yaw': -0.01981581399562149, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.212491512298584, 'x': 0.38026160626463845, 'y': -0.00898071539544943, 'z': 0.044837557809758365, 'yaw': -0.020339843304080674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2184815406799316, 'x': 0.38026307521630714, 'y': -0.008984025640202606, 'z': 0.04487416444555678, 'yaw': -0.02003648122820323, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2245254516601562, 'x': 0.38021174763193505, 'y': -0.009040267841020215, 'z': 0.04480726768429086, 'yaw': -0.01772450796481806, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2305467128753662, 'x': 0.38026319343136394, 'y': -0.008992885494260345, 'z': 0.0448927388640854, 'yaw': -0.02022520915990267, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2365524768829346, 'x': 0.38027436057160874, 'y': -0.008984864580913594, 'z': 0.044873129543756385, 'yaw': -0.019987031327777238, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2425718307495117, 'x': 0.3802336803069281, 'y': -0.009038186220929305, 'z': 0.044807494470202824, 'yaw': -0.01782397242013456, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2485895156860352, 'x': 0.3802543137129923, 'y': -0.008982571292479884, 'z': 0.044897926983064045, 'yaw': -0.020117748624497445, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2546055316925049, 'x': 0.38021979398047906, 'y': -0.009043335167299172, 'z': 0.04482292452983052, 'yaw': -0.017993200257172326, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.260615348815918, 'x': 0.3802185768885535, 'y': -0.00904216087367282, 'z': 0.04479402203837408, 'yaw': -0.01805333918562102, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2666096687316895, 'x': 0.3802770284254869, 'y': -0.008983450713675139, 'z': 0.04485856065477536, 'yaw': -0.020329280881821177, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2726500034332275, 'x': 0.3802206899757477, 'y': -0.00904541649635481, 'z': 0.04477499709014873, 'yaw': -0.017730084374484534, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.278669834136963, 'x': 0.380238436988455, 'y': -0.008976683467471758, 'z': 0.04486811122900611, 'yaw': -0.01993679961280037, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.284684181213379, 'x': 0.3802642897645354, 'y': -0.008985049971218018, 'z': 0.04487139033744244, 'yaw': -0.020120563361087918, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2906999588012695, 'x': 0.3802153395380862, 'y': -0.00903249086504115, 'z': 0.044795938105653896, 'yaw': -0.01785905623421069, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2967174053192139, 'x': 0.3802186597864041, 'y': -0.009041477058552475, 'z': 0.044796251298863485, 'yaw': -0.018151401835170056, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3027334213256836, 'x': 0.3802581231556572, 'y': -0.0089901168971985, 'z': 0.04487573928979946, 'yaw': -0.02009870342089659, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.308748722076416, 'x': 0.38021609099035125, 'y': -0.009047170201348148, 'z': 0.04480520328291171, 'yaw': -0.017960374685851654, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3147644996643066, 'x': 0.3802608626545995, 'y': -0.008987903804076979, 'z': 0.04488634200723151, 'yaw': -0.01991990266284116, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3207814693450928, 'x': 0.3802807749907039, 'y': -0.008990666502104176, 'z': 0.04485932651768064, 'yaw': -0.020085227257136573, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3267974853515625, 'x': 0.38026918994190095, 'y': -0.008983735697960597, 'z': 0.04485046299360122, 'yaw': -0.020373574828568053, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3328135013580322, 'x': 0.38020773859091195, 'y': -0.009046455838876186, 'z': 0.04479702734887035, 'yaw': -0.017913116891884684, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3388280868530273, 'x': 0.3801994171383144, 'y': -0.009046643879799537, 'z': 0.044804281807954836, 'yaw': -0.017713461339135428, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3448505401611328, 'x': 0.38025635859730506, 'y': -0.008998046596666231, 'z': 0.044856946874025166, 'yaw': -0.020072018495898014, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3508617877960205, 'x': 0.3802657910773045, 'y': -0.00899372920777249, 'z': 0.04484247497119082, 'yaw': -0.02022667885833851, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3568761348724365, 'x': 0.3802782348724658, 'y': -0.008992232229136112, 'z': 0.04485788576608164, 'yaw': -0.01979388020315387, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3628923892974854, 'x': 0.38021305664213956, 'y': -0.009043874501470392, 'z': 0.04479854677666979, 'yaw': -0.01794573442895331, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3689095973968506, 'x': 0.3802658744360936, 'y': -0.00898509535924551, 'z': 0.044882423261860385, 'yaw': -0.02021693755593912, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
