{'time': 1.3064100742340088, 'x': -0.03398137452267101, 'y': 0.003445692346814513, 'z': 0.03997743073493825, 'yaw': -0.021981729437145603, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3123939037322998, 'x': -0.033959167345134426, 'y': 0.0034193050709974185, 'z': 0.039959867996339535, 'yaw': -0.022095092874955036, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.326019287109375, 'x': -0.03390222793274131, 'y': 0.0035828546271301346, 'z': 0.0400225431976988, 'yaw': -0.02712235358513393, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3364207744598389, 'x': -0.03385644822554682, 'y': 0.003701958181825013, 'z': 0.03989108943595246, 'yaw': -0.026588678035698976, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3464272022247314, 'x': -0.03396366921734527, 'y': 0.0034595012078590193, 'z': 0.03993935841450942, 'yaw': -0.021731350584141218, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3562779426574707, 'x': -0.03395590362909057, 'y': 0.0034742834250928653, 'z': 0.03993856984454281, 'yaw': -0.022643604532571082, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3661375045776367, 'x': -0.0339829459164169, 'y': 0.003467949702866519, 'z': 0.03994482130590553, 'yaw': -0.022684504709850728, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.376255750656128, 'x': -0.03394180203389091, 'y': 0.0034356128374641373, 'z': 0.0399548160927553, 'yaw': -0.021810411613983227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3821589946746826, 'x': -0.03396169516692859, 'y': 0.003455141600020929, 'z': 0.03997272530456217, 'yaw': -0.021658062367698072, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3921771049499512, 'x': -0.03384844140409547, 'y': 0.0032551596574468752, 'z': 0.03976200350908807, 'yaw': -0.01734560637764382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4056339263916016, 'x': -0.0340248471645991, 'y': 0.003502546301762725, 'z': 0.03998734623647133, 'yaw': -0.021261961334759327, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.41666579246521, 'x': -0.033943183564619055, 'y': 0.0034652265921762144, 'z': 0.03994163606294582, 'yaw': -0.022931985093388896, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
